"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
102,16.98497797757,0.722222222222222,0.4,22,6,0.25,12.4
704,44.9080779417117,0.833333333333333,0.6,20,14,0.45,27.3
934,50.0206779793778,0.833333333333333,0.2,23,26,0.25,21.2
1656,61.2274046589781,0.91358024691358,0.6,21,27,0.35,23.2
1092,53.2987875286787,0.833333333333333,0.3,22,26,0.45,19.8
516,40.9827401475526,0.772727272727273,0.4,24,11,0.35,34.2
272,33.8151187601776,0.595238095238095,0.4,24,7,0.55,31.9
570,39.7197075621503,0.789473684210526,0.4,24,19,0.55,12.8
950,55.5873002898984,0.862068965517241,0.3,24,29,0.55,12.9
226,24.3316711714946,0.566666666666667,0.2,20,10,0.25,18.1
354,41.3228302120848,0.666666666666667,0.3,20,7,0.45,46.5
744,41.1787576590268,0.843137254901961,0.4,24,17,0.25,22.5
1044,56.6635240584061,0.55,0.2,20,20,0.45,45.8
190,25.3362353583395,0.333333333333333,0.5,23,6,0.45,20.8
354,37.9512785008578,0.666666666666667,0.2,22,8,0.35,44.4
388,33.9586579830245,0.645833333333333,0.1,22,16,0.45,20.4
1208,58.0459139716179,0.858024691358025,0.3,20,27,0.35,27
372,31.0188118686273,0.638888888888889,0.2,24,12,0.35,23.5
1596,62.3494847277608,0.984126984126984,0.6,24,21,0.25,36.1
1888,70.6855210510888,0.839080459770115,0.4,24,29,0.55,33.3
524,35.9486819708924,0.733333333333333,0.4,20,15,0.45,18
188,22.6380066133369,0.62962962962963,0.3,22,9,0.35,15.1
756,52.4948462731015,0.756410256410256,0.1,22,26,0.45,26.7
664,44.2533497992007,0.697916666666667,0.3,22,16,0.45,30.8
404,34.5125217105059,0.683333333333333,0.1,20,10,0.35,39.1
306,29.9066768515873,0.75,0.6,24,8,0.35,21.2
2300,77.2725211831427,0.758620689655172,0.4,22,29,0.55,42.6
320,36.5231712475838,0.880952380952381,0.6,24,7,0.25,30.9
744,48.7003312444735,0.67948717948718,0.4,22,13,0.45,39.9
856,48.7280683661197,0.75,0.3,22,18,0.35,33.9
322,28.6558422493447,0.666666666666667,0.3,24,11,0.25,20
248,28.1089022805027,0.518518518518518,0.2,21,9,0.35,26.4
484,43.5415293727273,0.722222222222222,0.5,20,9,0.55,37.3
748,46.4836122245373,0.916666666666667,0.5,21,14,0.25,32.8
408,31.6256999203874,0.694444444444444,0.5,20,12,0.45,16.9
2040,74.3588074844713,0.962962962962963,0.6,20,24,0.35,43.9
712,47.2231346286718,0.756410256410256,0.5,22,13,0.55,33.9
1012,49.9465771092977,0.885964912280702,0.6,21,19,0.35,24.7
1668,69.2727139043998,0.873015873015873,0.6,21,21,0.45,42.6
1620,65.3079894778134,1,0.680297854086846,22,19,0.35,39.9
1372,58.5469200459165,0.96031746031746,0.5,24,21,0.25,34.6
1072,53.5809542058238,0.875,0.4,24,24,0.35,24.1
828,53.3113274202953,0.680555555555556,0.680297854086846,20,12,0.55,37.8
396,37.6836463656647,0.759259259259259,0.5,24,9,0.45,30.5
2772,77.297212207002,0.988888888888889,0.680297854086846,22,30,0.45,32.9
1292,60.1284533342056,0.701754385964912,0.4,24,19,0.45,42.7
1872,59.7086402751829,0.88,0.680297854086846,23,25,0.45,22.3
928,51.3219289118174,0.75,0.3,24,20,0.45,32
1206,67.0714954814922,0.603174603174603,0.680297854086846,21,14,0.45,49.8
240,30.7469250253376,0.642857142857143,0.5,24,7,0.35,26.1
498,50.1749097520575,0.5,0.6,20,8,0.55,43.9
448,37.2232932119703,0.678571428571429,0.3,23,14,0.45,24.9
2000,68.1554181618921,0.933333333333333,0.5,23,30,0.35,28.2
126,20.226958948971,0.766666666666667,0.2,22,10,0.35,10.7
692,45.7138403168471,0.617647058823529,0.2,22,17,0.55,33.6
478,35.9201271778838,0.619047619047619,0.3,23,14,0.55,21.5
1128,58.668991851028,0.619883040935672,0.3,22,19,0.35,46.6
378,35.1956234179681,0.796296296296296,0.2,23,18,0.45,13.7
246,27.4342003095306,0.717948717948718,0.2,21,13,0.45,14.1
476,37.3398232300036,0.759259259259259,0.2,20,18,0.45,17.5
390,45.9164009062366,0.853333333333333,0.1,23,25,0.55,12
748,45.1842616199037,0.676470588235294,0.2,23,17,0.25,36.1
2352,73.0338011985429,1,0.6,24,27,0.35,36.9
1084,56.8103131665727,0.802469135802469,0.2,22,27,0.35,29.2
384,29.8737453760385,0.75,0.6,20,12,0.45,13.5
596,42.0964200676408,0.666666666666667,0.3,23,15,0.45,29.9
792,47.0556997235108,0.825396825396825,0.3,24,21,0.25,25.5
496,39.6109010047062,0.787878787878788,0.6,21,11,0.45,26.7
984,54.0339535662208,0.822222222222222,0.6,24,15,0.55,35.3
2880,85.2691973223251,0.896296296296296,0.6,21,30,0.45,44.4
1232,59.7098030878451,0.791666666666667,0.2,22,28,0.35,31.6
376,34.6295602971377,0.67948717948718,0.4,20,13,0.45,20.8
272,29.4905829040481,0.55,0.2,21,10,0.35,26.3
1424,60.9456732390407,0.869565217391304,0.5,20,23,0.55,30.4
580,39.9598551907852,0.845238095238095,0.6,22,14,0.35,22.2
674,40.403098040054,0.764705882352941,0.4,23,17,0.45,19.7
1540,67.5615183377121,0.689655172413793,0.2,21,29,0.55,37.8
1404,60.2957749675871,0.856060606060606,0.4,20,22,0.35,37.6
812,47.6829234339128,0.833333333333333,0.5,21,16,0.45,29.2
728,49.8428641488226,0.869047619047619,0.2,21,28,0.35,13.5
932,46.8990734146755,0.888888888888889,0.4,20,24,0.35,14.6
1242,53.5689865757276,0.847222222222222,0.4,24,24,0.45,22.3
468,34.9939386631093,0.711111111111111,0.3,20,15,0.45,18.8
2196,77.2811755352528,0.847736625514403,0.5,22,27,0.45,44.4
716,41.2921790773105,0.814814814814815,0.3,24,18,0.25,23.2
1408,62.5194649179239,0.811111111111111,0.2,22,30,0.25,33
1104,60.9651895666073,0.816091954022989,0.3,20,29,0.55,22
102,17.1417449403948,0.476190476190476,0.2,24,7,0.35,13.1
2040,62.8024508378285,0.873563218390805,0.6,22,29,0.45,19.7
172,26.8634986384114,0.361111111111111,0.5,22,6,0.45,22.9
1604,54.7419098944434,0.884615384615385,0.680297854086846,22,26,0.45,15
1188,55.1469132331588,0.962962962962963,0.6,22,18,0.25,33.1
1968,74.0312333735773,0.861111111111111,0.5,23,24,0.35,47.4
900,49.1766325425956,0.871794871794872,0.3,21,26,0.35,15.3
630,49.6707198631553,0.666666666666667,0.4,20,11,0.35,45.9
798,52.5258249157524,0.563492063492063,0.3,20,14,0.45,47.8
1004,53.3561568252256,0.657407407407407,0.3,21,18,0.45,39.8
816,47.4385186252904,0.549019607843137,0.1,24,17,0.45,43.8
216,30.852268323572,0.472222222222222,0.5,24,6,0.45,27.8
1284,60.7278151054013,0.657407407407407,0.2,20,24,0.25,45.2
414,36.0726788858039,0.725490196078431,0.2,22,17,0.55,16.4
1758,72.6569653625955,0.894444444444444,0.6,23,20,0.35,49.1
1324,61.6453122920724,0.716049382716049,0.2,22,27,0.45,35.6
328,41.7564709395286,0.833333333333333,0.680297854086846,24,6,0.55,35.7
448,40.3594972883539,0.685185185185185,0.3,24,9,0.35,41.2
532,40.8656519827525,0.678571428571429,0.4,23,14,0.55,26.3
188,22.0601767012544,0.851851851851852,0.5,20,9,0.35,11.5
316,37.0320978564187,0.761904761904762,0.5,20,7,0.45,33.5
1722,70.3502312220476,0.748792270531401,0.4,22,23,0.35,49.3
1210,49.8757237444625,0.825396825396825,0.6,22,21,0.45,19.8
344,34.3562694233786,0.666666666666667,0.6,21,9,0.45,24.3
1554,67.4881240281009,0.654761904761905,0.2,20,28,0.35,45.2
1004,53.7172252365464,0.846666666666667,0.3,20,25,0.35,25.1
728,43.4421280908553,0.783333333333333,0.3,22,20,0.45,19.5
164,21.4144105582096,0.666666666666667,0.5,21,7,0.35,14.5
2092,73.4535426184599,0.75,0.4,24,26,0.45,45.8
1902,72.1536580675512,0.935185185185185,0.5,20,24,0.25,45.9
474,36.666823974083,0.814814814814815,0.3,21,18,0.45,14
1604,64.6063851587649,0.808641975308642,0.3,22,27,0.35,37.1
1448,61.4784141512295,0.880952380952381,0.5,22,21,0.45,36.5
924,43.0626689529349,0.9,0.6,23,20,0.35,14.8
320,32.2826099630757,0.75,0.4,22,10,0.25,25
790,47.7870484166053,0.858974358974359,0.2,20,26,0.25,17.3
552,36.6593267764742,0.688888888888889,0.5,24,15,0.55,16.2
532,38.9309583751494,0.833333333333333,0.4,20,14,0.25,25.9
1944,75.1128109039536,0.72463768115942,0.5,21,23,0.45,49.7
1124,56.4238386546373,0.710526315789474,0.4,21,19,0.55,36.5
414,43.3820423768738,0.652777777777778,0.3,21,8,0.45,47.4
1212,55.7335990530624,0.962962962962963,0.680297854086846,21,18,0.45,30.5
1248,58.4090272779522,0.712121212121212,0.3,20,22,0.45,38
464,44.5853066302998,0.8125,0.5,24,8,0.35,41.2
378,33.6643939382038,0.814814814814815,0.2,20,18,0.25,13.8
866,42.5122590329938,0.954545454545455,0.6,20,22,0.35,10.5
1268,54.629275614008,0.916666666666667,0.680297854086846,22,20,0.35,26.6
2104,73.0124686145417,0.81547619047619,0.4,24,28,0.45,40.8
1300,59.486099489309,0.87719298245614,0.5,24,19,0.45,38
1024,51.9049079952403,0.841269841269841,0.5,21,21,0.45,24.4
688,45.5626037751541,0.523809523809524,0.2,24,14,0.55,41.2
718,41.5711363111111,0.729166666666667,0.5,22,16,0.55,20.3
200,26.9929594526079,0.833333333333333,0.2,23,14,0.45,10.5
1012,58.0231207589893,1,0.680297854086846,22,13,0.35,42.1
1566,67.1148671890887,0.792270531400966,0.4,21,23,0.35,44.9
798,42.9469269259475,0.833333333333333,0.4,24,20,0.35,17.8
